TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612752,New York Knicks,2012-13,54,28,0.659,347.0
1610612760,Oklahoma City Thunder,2012-13,60,22,0.732,755.0
1610612753,Orlando Magic,2012-13,20,62,0.244,-573.0
1610612755,Philadelphia 76ers,2012-13,34,48,0.415,-274.0
1610612756,Phoenix Suns,2012-13,25,57,0.305,-530.0
1610612757,Portland Trail Blazers,2012-13,33,49,0.402,-260.0
1610612758,Sacramento Kings,2012-13,28,54,0.341,-400.0
1610612759,San Antonio Spurs,2012-13,58,24,0.707,525.0
1610612761,Toronto Raptors,2012-13,34,48,0.415,-121.0
1610612762,Utah Jazz,2012-13,43,39,0.524,-7.0
1610612764,Washington Wizards,2012-13,29,53,0.354,-208.0
1610612737,Atlanta Hawks,2011-12,40,26,0.606,227.0
1610612738,Boston Celtics,2011-12,39,27,0.591,166.0
1610612766,Charlotte Bobcats,2011-12,7,59,0.106,-918.0
1610612741,Chicago Bulls,2011-12,50,16,0.758,540.0
1610612739,Cleveland Cavaliers,2011-12,21,45,0.318,-475.0
1610612742,Dallas Mavericks,2011-12,36,30,0.545,63.0
1610612743,Denver Nuggets,2011-12,38,28,0.576,190.0
1610612765,Detroit Pistons,2011-12,25,41,0.379,-316.0
1610612744,Golden State Warriors,2011-12,23,43,0.348,-225.0
1610612745,Houston Rockets,2011-12,34,32,0.515,15.0
1610612754,Indiana Pacers,2011-12,42,24,0.636,218.0
1610612746,Los Angeles Clippers,2011-12,40,26,0.606,169.0
1610612747,Los Angeles Lakers,2011-12,41,25,0.621,94.0
1610612763,Memphis Grizzlies,2011-12,41,25,0.621,133.0
1610612748,Miami Heat,2011-12,46,20,0.697,395.0
1610612749,Milwaukee Bucks,2011-12,31,35,0.47,18.0
1610612750,Minnesota Timberwolves,2011-12,26,40,0.394,-145.0
1610612751,New Jersey Nets,2011-12,22,44,0.333,-395.0
1610612740,New Orleans Hornets,2011-12,21,45,0.318,-248.0
1610612752,New York Knicks,2011-12,36,30,0.545,211.0
1610612760,Oklahoma City Thunder,2011-12,47,19,0.712,404.0
1610612753,Orlando Magic,2011-12,37,29,0.561,52.0
1610612755,Philadelphia 76ers,2011-12,35,31,0.53,280.0
1610612756,Phoenix Suns,2011-12,33,33,0.5,-16.0
1610612757,Portland Trail Blazers,2011-12,28,38,0.424,-41.0
1610612758,Sacramento Kings,2011-12,22,44,0.333,-375.0
1610612759,San Antonio Spurs,2011-12,50,16,0.758,473.0
1610612761,Toronto Raptors,2011-12,23,43,0.348,-218.0
1610612762,Utah Jazz,2011-12,36,30,0.545,41.0
1610612764,Washington Wizards,2011-12,20,46,0.303,-317.0
1610612737,Atlanta Hawks,2010-11,44,38,0.537,-67.0
1610612738,Boston Celtics,2010-11,56,26,0.683,440.0
1610612766,Charlotte Bobcats,2010-11,34,48,0.415,-328.0
1610612741,Chicago Bulls,2010-11,62,20,0.756,600.0
1610612739,Cleveland Cavaliers,2010-11,19,63,0.232,-739.0
1610612742,Dallas Mavericks,2010-11,57,25,0.695,347.0
1610612743,Denver Nuggets,2010-11,50,32,0.61,390.0
1610612765,Detroit Pistons,2010-11,30,52,0.366,-295.0
